id,metro_region,lat,long
AL/SHG,Shëngjin,41.8,19.566668
AL/SHK,Shkoder,42.066666,19.516666
AL/SHZ,Shkozet,42.033333,19.566668
AL/VOA,Vlorë,40.466667,19.483334
AL/VOR,Vore,41.383335,19.65
AM/ABO,Abovyan,40.266666,44.783333
AM/A3A,Aparan,40.583332,44.35
AM/ARG,Aragatsotn,40.25,44.166668
AM/ARA,Ararat,39.833332,44.683334
AM/ARV,Armavir,40.15,44.016666
AM/ASH,Ashtarak,40.3,44.35
AM/BRD,Berd,40.866665,45.383335
AM/BYU,Byureghavan,40.3,44.583332
AM/DIL,Dilijan,40.733334,44.866665
AM/EZN,Ecmiadzin,40.15,44.283333
AM/GRS,Goris,39.5,46.333332
AM/LWN,Gyumri,40.8,43.833332
AM/HRA,Hrazdan,40.533333,44.766666
AM/KJN,Kajaran,39.15,46.15
AM/KPN,Kapan,39.2,46.4
AM/ARM,Masis,40.016666,44.483334
AM/MMA,Mets Masrik,40.216667,45.766666
AM/MTR,Metsamor,40.066666,44.283333
AM/RN4,Rind,39.75,45.166668
AM/SPI,Spitak,40.833332,44.266666
AM/VZR,Vanadzor,40.8,44.466667
AM/VED,Vedi,39.9,44.716667
AM/EVN,Yerevan,40.183334,44.516666
AO/ARO,Armada Olombendo FPSO,-6.066666603088379,11.35
AO/BAB,Baba,-14.833333015441895,12.233334
AO/BDT,Baía dos Tigres,-16.600000381469727,11.733334
AO/BEL,Belas,-8.916666984558105,13.166667
AO/CPO,Capulo,-7.983333110809326,13.166667
AO/CLV,CLOV FPSO,-7.449999809265137,11.566667
AO/CUI,Cuio,-12.983333587646484,12.983334
AO/DAL,Dalia,-7.683333396911621,11.783334
AO/ETN,Essungo Terminal,-6.333333492279053,12.166667
AO/FBY,Farta Bay,-12.616666793823242,13.2
AO/FLT,Futila Terminal,-5.449999809265137,12.183333
AO/GIM,Gimboa,-7.5333333015441895,12.166667
AO/GIR,Girassol Terminal,-7.633333206176758,11.683333
AO/GPO,Greater Plutonio,-7.833333492279053,12.116667
AO/KOT,Kuito Terminal,-5.433333396911621,11.483334
AO/LBT,Lombo Terminal,-6.983333110809326,12.35
AO/MDZ,Maquela Do Zombo,-6.066666603088379,15.1
AO/MTL,Matala,-14.733333587646484,15.033334
AO/MOS,Mocamedes,-15.166666984558105,12.15
AO/NDF,N'dalatando,-9.300000190734863,14.916667
AO/NQI,Nóqui,-5.849999904632568,13.433333
AO/NTO,N'Zeto (Ambrizete),-7.266666889190674,12.85
AO/NGV,Ondjiva,-17.066667556762695,15.733334
AO/PAZ,Pazflor FPSO,-8.350000381469727,12.1
AO/PSA,Porto Saco (Portosalazar),-15.133333206176758,12.133333
AO/RSN,River Sao Nicolau,-14.25,12.333333
AO/STC,Santa Clara,-7.366666793823242,14.733334
AO/SBT,Saxi Batuque FPSO,-6.316666603088379,11.216666
AO/STL,Sazaire Terminal,-6.083333492279053,12.383333
AO/UGO,Uíge,-7.616666793823242,15.05
AO/VNA,Viana,-8.899999618530273,13.366667
AO/CEO,Waku Kungo,-11.350000381469727,15.116667
AQ/ABA,Aboa,-73.05000305175781,-13.416666984558105
AQ/AMS,Amundsen-Scott,-89.98332977294922,139.26666
AQ/ARC,Arctowski,-62.150001525878906,-58.46666717529297
AQ/ART,Artigas,-62.18333435058594,-58.900001525878906
AQ/APT,Arturo Prat,-62.5,-59.68333435058594
AQ/BEL,Belgrano II,-77.86666870117188,-34.61666488647461
AQ/BHN,Bellingshausen,-62.18333435058594,-58.95000076293945
AQ/CAS,Casey Station,-66.28333282470703,110.51667
AQ/CFZ,Comandante Ferraz,-62.08333206176758,-58.38333511352539
AQ/CON,Concordia,-75.0999984741211,123.38333
AQ/DAV,Davis Station,-68.56666564941406,77.96667
AQ/DMF,Dome Fuji,-77.31666564941406,39.7
AQ/DRZ,Druzhnaya 4,-69.73332977294922,73.7
AQ/DDU,Dumont d'Urville Station,-66.6500015258789,140.0
AQ/ESC,Escudero,-62.20000076293945,-58.95000076293945
AQ/ESP,Esperanza,-63.38333511352539,-56.983333587646484
AQ/GDC,Gabriel de Castilla,-62.983333587646484,-60.68333435058594
AQ/OHG,General Bernardo O'higgins,-63.31666564941406,-57.900001525878906
AQ/GWL,Great Wall,-62.21666717529297,-58.96666717529297
AQ/HLY,Halley,-75.56666564941406,-26.53333282470703
AQ/JBS,Jang Bogo Station,-74.5999984741211,164.2
AQ/JCP,Juan Carlos Primero,-62.650001525878906,-60.38333511352539
AQ/JUB,Jubany,-62.233333587646484,-58.650001525878906
AQ/KSG,King Sejong,-62.21666717529297,-58.78333282470703
AQ/KHN,Kohnen,-75.0,0.06666667
AQ/LAW,Law Base,-69.38333129882812,76.38333
AQ/MTR,Maitri,-70.75,11.733334
AQ/MRB,Marambio,-64.23332977294922,-56.650001525878906
AQ/MZU,Mario Zucchelli,-74.68333435058594,164.11667
AQ/MAW,Mawson Station,-67.5999984741211,62.866665
AQ/MCM,McMurdo,-77.83333587646484,166.66667
AQ/MIR,Mirny,-66.55000305175781,93.0
AQ/NEU,Neumayer,-70.63333129882812,-8.25
AQ/NOV,Novolazarevskaya,-70.76667022705078,11.85
AQ/ORC,Orcadas,-60.733333587646484,-44.733333587646484
AQ/PLM,Palmer,-64.76667022705078,-64.05000305175781
AQ/PFS,Port Foster,-63.0,-60.56666564941406
AQ/PRO,Progress,-69.4000015258789,76.38333
AQ/ROT,Rothera,-67.56666564941406,-68.11666870117188
AQ/SMT,San Martín,-68.11666870117188,-67.0999984741211
AQ/SNA,SANAE IV,-71.66666412353516,-2.816666603088379
AQ/SBA,Scott Base,-77.8499984741211,166.75
AQ/SGN,Signy,-60.71666717529297,-45.599998474121094
AQ/SYW,Syowa,-69.0,39.583332
AQ/TNM,Teniente R. Marsh,-62.21666717529297,-58.91666793823242
AQ/TOR,Tor,-71.88333129882812,5.15
AQ/TRL,Troll,-72.0,2.5333333
AQ/VKY,Vernadsky,-65.23332977294922,-64.25
AQ/VOS,Vostok,-78.46666717529297,106.8
AQ/WSA,Wasa,-73.05000305175781,-13.416666984558105
AQ/ZGN,Zhongshan,-69.36666870117188,76.38333
AR/ABA,Abasto,-34.96666717529297,-58.08333206176758
AR/ACA,Acaraguá,-27.46666717529297,-55.11666488647461
AR/ACS,Acassuso,-34.483333587646484,-58.516666412353516
AR/AVD,Acevedo,-33.733333587646484,-60.45000076293945
AR/AC5,Acheral,-27.116666793823242,-65.44999694824219
AR/AMA,Adelia María,-33.61666488647461,-64.03333282470703
AR/GEO,Agrelo,-33.11666488647461,-68.88333129882812
AR/AGS,Aguilares,-27.433332443237305,-65.61666870117188
AR/AIM,Aimogasta,-28.71666717529297,-66.81666564941406
AR/ALN,Albardón,-31.433332443237305,-68.51667022705078
AR/ALI,Alberti,-35.03333282470703,-60.28333282470703
AR/AEA,Aldea Escolar,-43.13333511352539,-71.55000305175781
AR/ADS,Alderetes,-26.816667556762695,-65.13333129882812
AR/ALL,Allen,-38.983333587646484,-67.81666564941406
AR/ALE,Almafuerte,-32.20000076293945,-64.25
AR/ALS,Alsina,-33.900001525878906,-59.38333511352539
AR/ASL,Alto de Sierra,-31.516666412353516,-68.41666412353516
AR/ARR,Alto Río Senguerr,-45.03333282470703,-70.83333587646484
AR/LTV,Alto Verde,-33.150001525878906,-67.3499984741211
AR/ALZ,Alvarez,-33.11666488647461,-60.79999923706055
AR/AVR,Alvear,-33.66666793823242,-60.61666488647461
AR/ANA,Añatuya,-28.46666717529297,-62.83333206176758
AR/ANC,Ancón,-35.56666564941406,-61.849998474121094
