AF,BEP,Bazar-E-Panjwai,Bazar-E-Panjwai,3133N 06527E
AF,BST,Bost,Bost,
AF,CBN,Camp Bastion,Camp Bastion,3151N 06413E
AF,CDW,Camp Dwyer,Camp Dwyer,3107N 06411E
AF,CLN,Camp Leatherneck,Camp Leatherneck,3153N 06411E
AF,CSO,Camp Salerno,Camp Salerno,3324N 07004E
AF,CWO,Camp Wolverine,Camp Wolverine,3204N 06712E
AF,CCN,Chaghcharan,Chaghcharan,3431N 06515E
AF,DAZ,Darwaz,Darwaz,
AF,DHD,Dehdadi,Dehdadi,3639N 06659E
AF,ISQ,Eslam Qal'eh,Eslam Qal'eh,3440N 06104E
AF,FBD,Faizabad,Faizabad,
AF,FAH,Farah,Farah,
AF,FRO,FOB Frontenac,FOB Frontenac,3137N 06539E
AF,RMD,FOB Ramrod,FOB Ramrod,3145N 06507E
AF,SHK,FOB Shank,FOB Shank,3400N 06917E
AF,GRG,Gardez,Gardez,
AF,GAR,Gardiz,Gardiz,3335N 06913E
AF,GZI,Ghazni,Ghazni,
AF,HRT,Hairatan,Hairatan,
AF,HEA,Herat,Herat,
AF,JAA,Jalalabad,Jalalabad,
AF,KBL,Kabul,Kabul,
AF,KMU,Kamu,Kamu,3524N 07125E
AF,KDH,Kandahar,Kandahar,
AF,KHT,Khost,Khost,
AF,KHO,Khowst,Khowst,3512N 07050E
AF,KWT,Khowst,Khowst,3320N 06955E
AF,KWH,Khwahan,Khwahan,
AF,UND,Kunduz,Kunduz,
AF,KUR,Kuran-O-Munjan,Kuran-O-Munjan,
AF,LAG,Lashkar Gah,Lashkar Gah,3135N 06421E
AF,MMZ,Maimana,Maimana,
AF,MWD,Maiwand,Maiwand,3144N 06508E
AF,MAS,Mashad,Mashad,
AF,MZR,Mazar-i-Sharif,Mazar-i-Sharif,3642N 06706E
AF,MEH,Mehtar Lam,Mehtar Lam,3440N 07012E
AF,MEY,Meydan,Meydan,3654N 06655E
AF,IMZ,Nimroz,Nimroz,
AF,ORG,Orgun-E Kalan,Orgun-E Kalan,3254N 06913E
